order_item_id,order_id,user_id,category,retail_price,sale_price,status,created_at
133987,92424,74089,Accessories,0.0199999995529651,0.0199999995529651,Complete,2024-03-07 21:27:10 UTC
88685,61198,48997,Accessories,0.0199999995529651,0.0199999995529651,Shipped,2020-11-23 15:56:45 UTC
133539,92117,73850,Accessories,0.0199999995529651,0.0199999995529651,Shipped,2025-07-26 08:30:35 UTC
88069,60776,48647,Accessories,0.0199999995529651,0.0199999995529651,Shipped,2023-02-05 23:27:18 UTC
38794,26789,21435,Accessories,0.0199999995529651,0.0199999995529651,Cancelled,2024-02-05 13:24:16 UTC
9998,6917,5551,Accessories,0.49000000953674311,0.49000000953674311,Returned,2024-12-21 09:45:14 UTC
50568,34935,27905,Accessories,0.49000000953674311,0.49000000953674311,Shipped,2022-06-01 01:02:59 UTC
50415,34823,27823,Accessories,1.5,1.5,Shipped,2024-01-12 00:09:26 UTC
25313,17475,14021,Accessories,1.5,1.5,Complete,2019-12-10 10:34:58 UTC
140577,96978,77714,Accessories,1.5,1.5,Complete,2020-08-20 14:39:18 UTC
94043,64851,51917,Accessories,1.5,1.5,Returned,2026-01-03 23:33:47 UTC
37507,25899,20731,Accessories,1.5,1.5,Cancelled,2024-06-26 04:19:30 UTC
14763,10207,8146,Accessories,1.5,1.5,Complete,2024-05-03 23:49:51 UTC
64995,44892,35980,Accessories,1.5,1.5,Shipped,2021-11-15 08:46:53 UTC
56520,39014,31292,Accessories,1.5,1.5,Returned,2022-03-15 10:02:14 UTC
137523,94877,76036,Accessories,1.5,1.5,Shipped,2025-11-14 06:27:57 UTC
83186,57430,45997,Accessories,1.5,1.5,Processing,2024-01-10 14:17:14 UTC
103306,71222,57087,Accessories,1.5,1.5,Processing,2024-06-28 17:16:28 UTC
102798,70866,56773,Accessories,1.5,1.5,Complete,2026-02-11 12:50:38 UTC
100669,69407,55598,Accessories,1.5,1.5,Cancelled,2026-04-01 06:29:39 UTC
